,index,year,month,categories,problem_type_1,count
269,269,2010,2,CriminalBehaviour,Kidnapping and imprisonment,1
270,270,2010,2,CriminalBehaviour,Misuse of transport card,2
271,271,2010,2,CriminalBehaviour,Murder,2
272,272,2010,2,CriminalBehaviour,Obscene/libelous acts,5
273,273,2010,2,CriminalBehaviour,Physical/Verbal Agression,7
274,274,2010,2,CriminalBehaviour,Robbery,34
275,275,2010,2,CriminalBehaviour,Sexual harassment,1
276,276,2010,2,CriminalBehaviour,Theft,31
277,277,2010,3,CriminalBehaviour,Agression,23
278,278,2010,3,CriminalBehaviour,Break-in,53
279,279,2010,3,CriminalBehaviour,Corporal injury,2
280,280,2010,3,CriminalBehaviour,Crime against individual liberty,1
281,281,2010,3,CriminalBehaviour,Environmental crime,2
282,282,2010,3,CriminalBehaviour,Favouring prostitution,1
283,283,2010,3,CriminalBehaviour,Fishing in Prohibited Places,3
284,284,2010,3,CriminalBehaviour,Fraud (monetary),2
285,285,2010,3,CriminalBehaviour,Gunshot,6
286,286,2010,3,CriminalBehaviour,Illegal possession,2
287,287,2010,3,CriminalBehaviour,Illitcit Substance,53
288,288,2010,3,CriminalBehaviour,Irregular Construction,1
289,289,2010,3,CriminalBehaviour,Misuse of transport card,4
290,290,2010,3,CriminalBehaviour,Murder,3
291,291,2010,3,CriminalBehaviour,Obscene/libelous acts,13
292,292,2010,3,CriminalBehaviour,Physical/Verbal Agression,29
293,293,2010,3,CriminalBehaviour,Quackery,1
294,294,2010,3,CriminalBehaviour,Rape,1
295,295,2010,3,CriminalBehaviour,Robbery,48
296,296,2010,3,CriminalBehaviour,Sexual harassment,2
297,297,2010,3,CriminalBehaviour,Theft,27
298,298,2010,4,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
299,299,2010,4,CriminalBehaviour,Abuse of incapacitated persons,1
300,300,2010,4,CriminalBehaviour,Agression,36
301,301,2010,4,CriminalBehaviour,Break-in,71
302,302,2010,4,CriminalBehaviour,Child grooming/enticement,1
303,303,2010,4,CriminalBehaviour,Corporal injury,1
304,304,2010,4,CriminalBehaviour,Crime against individual liberty,1
305,305,2010,4,CriminalBehaviour,Environmental crime,2
306,306,2010,4,CriminalBehaviour,Fishing in Prohibited Places,6
307,307,2010,4,CriminalBehaviour,Gang-sacking/pillaging,2
308,308,2010,4,CriminalBehaviour,Gunshot,6
309,309,2010,4,CriminalBehaviour,Illegal possession,7
310,310,2010,4,CriminalBehaviour,Illitcit Substance,93
311,311,2010,4,CriminalBehaviour,Irregular Construction,1
312,312,2010,4,CriminalBehaviour,Kidnapping and imprisonment,1
313,313,2010,4,CriminalBehaviour,"Loss, concealment or destruction of books or documents",1
314,314,2010,4,CriminalBehaviour,Maltreatment,1
315,315,2010,4,CriminalBehaviour,Misuse of transport card,3
316,316,2010,4,CriminalBehaviour,Obscene/libelous acts,13
317,317,2010,4,CriminalBehaviour,Physical/Verbal Agression,33
318,318,2010,4,CriminalBehaviour,Possession of explosive device,1
319,319,2010,4,CriminalBehaviour,Rape,1
320,320,2010,4,CriminalBehaviour,Robbery,23
321,321,2010,4,CriminalBehaviour,Theft,25
322,322,2010,5,CriminalBehaviour,Agression,30
323,323,2010,5,CriminalBehaviour,Break-in,75
324,324,2010,5,CriminalBehaviour,Environmental crime,3
325,325,2010,5,CriminalBehaviour,Fishing in Prohibited Places,2
326,326,2010,5,CriminalBehaviour,Gang-sacking/pillaging,1
327,327,2010,5,CriminalBehaviour,Gunshot,3
328,328,2010,5,CriminalBehaviour,Illegal possession,3
329,329,2010,5,CriminalBehaviour,Illitcit Substance,93
330,330,2010,5,CriminalBehaviour,Irregular Construction,3
331,331,2010,5,CriminalBehaviour,"Loss, concealment or destruction of books or documents",1
332,332,2010,5,CriminalBehaviour,Obscene/libelous acts,10
333,333,2010,5,CriminalBehaviour,Physical/Verbal Agression,25
334,334,2010,5,CriminalBehaviour,Robbery,30
335,335,2010,5,CriminalBehaviour,Sexual harassment,3
336,336,2010,5,CriminalBehaviour,Theft,21
337,337,2010,5,CriminalBehaviour,Violation of graves,2
338,338,2010,6,CriminalBehaviour,Agression,32
339,339,2010,6,CriminalBehaviour,Break-in,65
340,340,2010,6,CriminalBehaviour,Corporal injury,5
341,341,2010,6,CriminalBehaviour,Crime against individual liberty,3
342,342,2010,6,CriminalBehaviour,Extortion,1
343,343,2010,6,CriminalBehaviour,Fishing in Prohibited Places,1
344,344,2010,6,CriminalBehaviour,Fraud (monetary),1
345,345,2010,6,CriminalBehaviour,Gunshot,3
346,346,2010,6,CriminalBehaviour,Illitcit Substance,62
347,347,2010,6,CriminalBehaviour,Irregular Construction,2
348,348,2010,6,CriminalBehaviour,Kidnapping and imprisonment,1
349,349,2010,6,CriminalBehaviour,Maltreatment,1
350,350,2010,6,CriminalBehaviour,Misuse of transport card,2
351,351,2010,6,CriminalBehaviour,Murder,1
352,352,2010,6,CriminalBehaviour,Obscene/libelous acts,13
353,353,2010,6,CriminalBehaviour,Physical/Verbal Agression,23
354,354,2010,6,CriminalBehaviour,Robbery,31
355,355,2010,6,CriminalBehaviour,Sexual harassment,1
356,356,2010,6,CriminalBehaviour,Theft,35
357,357,2010,6,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",1
358,358,2010,7,CriminalBehaviour,Abandonment/nonsupport of incompetent person,2
359,359,2010,7,CriminalBehaviour,Agression,23
360,360,2010,7,CriminalBehaviour,Break-in,58
361,361,2010,7,CriminalBehaviour,Child grooming/enticement,1
362,362,2010,7,CriminalBehaviour,Corporal injury,4
363,363,2010,7,CriminalBehaviour,Corruption,1
364,364,2010,7,CriminalBehaviour,Crime against individual liberty,1
365,365,2010,7,CriminalBehaviour,Environmental crime,2
366,366,2010,7,CriminalBehaviour,Favouring prostitution,1
367,367,2010,7,CriminalBehaviour,Fishing in Prohibited Places,2
368,368,2010,7,CriminalBehaviour,Fraud (monetary),1
369,369,2010,7,CriminalBehaviour,Gang-sacking/pillaging,1
370,370,2010,7,CriminalBehaviour,Gunshot,5
371,371,2010,7,CriminalBehaviour,Illitcit Substance,141
372,372,2010,7,CriminalBehaviour,Irregular Construction,1
373,373,2010,7,CriminalBehaviour,Maltreatment,1
374,374,2010,7,CriminalBehaviour,Misuse of transport card,3
375,375,2010,7,CriminalBehaviour,Murder,2
376,376,2010,7,CriminalBehaviour,Obscene/libelous acts,11
377,377,2010,7,CriminalBehaviour,Physical/Verbal Agression,21
378,378,2010,7,CriminalBehaviour,Rape,1
379,379,2010,7,CriminalBehaviour,Robbery,45
380,380,2010,7,CriminalBehaviour,Sexual harassment,1
381,381,2010,7,CriminalBehaviour,Supplying alcohol to minors,2
382,382,2010,7,CriminalBehaviour,Theft,28
383,383,2010,7,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",1
384,384,2010,8,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
385,385,2010,8,CriminalBehaviour,Agression,25
386,386,2010,8,CriminalBehaviour,Break-in,75
387,387,2010,8,CriminalBehaviour,Corporal injury,6
388,388,2010,8,CriminalBehaviour,Environmental crime,3
389,389,2010,8,CriminalBehaviour,Gunshot,3
390,390,2010,8,CriminalBehaviour,Illegal possession,4
391,391,2010,8,CriminalBehaviour,Illitcit Substance,101
392,392,2010,8,CriminalBehaviour,Irregular Construction,1
393,393,2010,8,CriminalBehaviour,Murder,2
394,394,2010,8,CriminalBehaviour,Obscene/libelous acts,16
395,395,2010,8,CriminalBehaviour,Physical/Verbal Agression,20
396,396,2010,8,CriminalBehaviour,Robbery,56
397,397,2010,8,CriminalBehaviour,Sexual harassment,1
398,398,2010,8,CriminalBehaviour,Theft,39
399,399,2010,8,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",1
400,400,2010,9,CriminalBehaviour,Agression,25
401,401,2010,9,CriminalBehaviour,Break-in,86
402,402,2010,9,CriminalBehaviour,Corporal injury,2
403,403,2010,9,CriminalBehaviour,Corruption of minors,1
404,404,2010,9,CriminalBehaviour,Crime against individual liberty,1
405,405,2010,9,CriminalBehaviour,Environmental crime,2
406,406,2010,9,CriminalBehaviour,Fishing in Prohibited Places,8
407,407,2010,9,CriminalBehaviour,Fraud (monetary),2
408,408,2010,9,CriminalBehaviour,Gunshot,7
409,409,2010,9,CriminalBehaviour,Illegal possession,4
410,410,2010,9,CriminalBehaviour,Illitcit Substance,142
411,411,2010,9,CriminalBehaviour,Misuse of transport card,3
412,412,2010,9,CriminalBehaviour,Obscene/libelous acts,15
413,413,2010,9,CriminalBehaviour,Physical/Verbal Agression,31
414,414,2010,9,CriminalBehaviour,Rape,1
415,415,2010,9,CriminalBehaviour,Robbery,52
416,416,2010,9,CriminalBehaviour,Theft,42
417,417,2010,10,CriminalBehaviour,Agression,15
418,418,2010,10,CriminalBehaviour,Break-in,74
419,419,2010,10,CriminalBehaviour,Concussion (corruption),1
420,420,2010,10,CriminalBehaviour,Corporal injury,4
421,421,2010,10,CriminalBehaviour,Environmental crime,6
422,422,2010,10,CriminalBehaviour,Fishing in Prohibited Places,2
423,423,2010,10,CriminalBehaviour,Fraud (monetary),3
424,424,2010,10,CriminalBehaviour,Gunshot,6
425,425,2010,10,CriminalBehaviour,Illegal possession,6
426,426,2010,10,CriminalBehaviour,Illitcit Substance,106
427,427,2010,10,CriminalBehaviour,"Loss, concealment or destruction of books or documents",1
428,428,2010,10,CriminalBehaviour,Maltreatment,1
429,429,2010,10,CriminalBehaviour,Misuse of transport card,4
430,430,2010,10,CriminalBehaviour,Obscene/libelous acts,15
431,431,2010,10,CriminalBehaviour,Physical/Verbal Agression,38
432,432,2010,10,CriminalBehaviour,Rape,1
433,433,2010,10,CriminalBehaviour,Robbery,60
434,434,2010,10,CriminalBehaviour,Sexual assault/rape,1
435,435,2010,10,CriminalBehaviour,Sexual harassment,1
436,436,2010,10,CriminalBehaviour,Theft,27
437,437,2010,10,CriminalBehaviour,"Theft, loss, recovery, seizure of firearms",1
438,438,2010,11,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
439,439,2010,11,CriminalBehaviour,Agression,15
440,440,2010,11,CriminalBehaviour,Break-in,68
441,441,2010,11,CriminalBehaviour,Child grooming/enticement,2
442,442,2010,11,CriminalBehaviour,Corporal injury,4
443,443,2010,11,CriminalBehaviour,Environmental crime,5
444,444,2010,11,CriminalBehaviour,Fishing in Prohibited Places,3
445,445,2010,11,CriminalBehaviour,Gunshot,3
446,446,2010,11,CriminalBehaviour,Illegal possession,7
447,447,2010,11,CriminalBehaviour,Illitcit Substance,107
448,448,2010,11,CriminalBehaviour,Kidnapping and imprisonment,1
449,449,2010,11,CriminalBehaviour,Misuse of transport card,1
450,450,2010,11,CriminalBehaviour,Murder,1
451,451,2010,11,CriminalBehaviour,Obscene/libelous acts,20
452,452,2010,11,CriminalBehaviour,Physical/Verbal Agression,20
453,453,2010,11,CriminalBehaviour,Quackery,1
454,454,2010,11,CriminalBehaviour,Robbery,64
455,455,2010,11,CriminalBehaviour,Sexual assault/rape,1
456,456,2010,11,CriminalBehaviour,Sexual harassment,3
457,457,2010,11,CriminalBehaviour,Theft,42
458,458,2010,12,CriminalBehaviour,Abandonment/nonsupport of incompetent person,3
459,459,2010,12,CriminalBehaviour,Abuse of incapacitated persons,4
460,460,2010,12,CriminalBehaviour,Agression,27
461,461,2010,12,CriminalBehaviour,Break-in,54
462,462,2010,12,CriminalBehaviour,Corporal injury,8
463,463,2010,12,CriminalBehaviour,Environmental crime,1
464,464,2010,12,CriminalBehaviour,False Identity,1
465,465,2010,12,CriminalBehaviour,Fishing in Prohibited Places,2
466,466,2010,12,CriminalBehaviour,Fraud (monetary),1
467,467,2010,12,CriminalBehaviour,Gang-sacking/pillaging,1
468,468,2010,12,CriminalBehaviour,Gunshot,2
469,469,2010,12,CriminalBehaviour,Illegal possession,5
470,470,2010,12,CriminalBehaviour,Illitcit Substance,93
471,471,2010,12,CriminalBehaviour,Irregular Construction,1
472,472,2010,12,CriminalBehaviour,Kidnapping and imprisonment,1
473,473,2010,12,CriminalBehaviour,Maltreatment,1
474,474,2010,12,CriminalBehaviour,Misuse of transport card,1
475,475,2010,12,CriminalBehaviour,Murder,1
