,index,year,month,week_day,regional_name,categories,problem_type_1,count
60,60,2009,1,2-Monday,MATRIZ,CriminalBehaviour,Theft,2
61,61,2009,1,2-Monday,PINHEIRINHO,CriminalBehaviour,Break-in,1
62,62,2009,1,2-Monday,PINHEIRINHO,CriminalBehaviour,Obscene/libelous acts,1
63,63,2009,1,2-Monday,PINHEIRINHO,CriminalBehaviour,Theft,3
64,64,2009,1,2-Monday,PORTÃO,CriminalBehaviour,Fishing in Prohibited Places,2
65,65,2009,1,2-Monday,PORTÃO,CriminalBehaviour,Robbery,2
66,66,2009,1,2-Monday,PORTÃO,CriminalBehaviour,Sexual harassment,1
67,67,2009,1,2-Monday,SANTA FELICIDADE,CriminalBehaviour,Break-in,1
68,68,2009,1,2-Monday,SANTA FELICIDADE,CriminalBehaviour,Gunshot,1
69,69,2009,1,2-Monday,SANTA FELICIDADE,CriminalBehaviour,Illitcit Substance,1
70,70,2009,1,2-Monday,SANTA FELICIDADE,CriminalBehaviour,Robbery,1
71,71,2009,1,3-Tuesday,BAIRRO NOVO,CriminalBehaviour,Break-in,4
72,72,2009,1,3-Tuesday,BAIRRO NOVO,CriminalBehaviour,Physical/Verbal Agression,1
73,73,2009,1,3-Tuesday,BAIRRO NOVO,CriminalBehaviour,Robbery,2
74,74,2009,1,3-Tuesday,BOA VISTA,CriminalBehaviour,Break-in,1
75,75,2009,1,3-Tuesday,BOQUEIRÃO,CriminalBehaviour,Obscene/libelous acts,1
76,76,2009,1,3-Tuesday,CAJURU,CriminalBehaviour,Break-in,1
77,77,2009,1,3-Tuesday,CAJURU,CriminalBehaviour,Robbery,1
78,78,2009,1,3-Tuesday,CIC,CriminalBehaviour,Break-in,2
79,79,2009,1,3-Tuesday,CIC,CriminalBehaviour,Fishing in Prohibited Places,1
80,80,2009,1,3-Tuesday,CIC,CriminalBehaviour,Theft,1
81,81,2009,1,3-Tuesday,MATRIZ,CriminalBehaviour,Agression,1
82,82,2009,1,3-Tuesday,MATRIZ,CriminalBehaviour,Break-in,2
83,83,2009,1,3-Tuesday,MATRIZ,CriminalBehaviour,Embezzlement,1
84,84,2009,1,3-Tuesday,MATRIZ,CriminalBehaviour,Favouring prostitution,1
85,85,2009,1,3-Tuesday,MATRIZ,CriminalBehaviour,Illitcit Substance,7
86,86,2009,1,3-Tuesday,MATRIZ,CriminalBehaviour,Obscene/libelous acts,1
87,87,2009,1,3-Tuesday,MATRIZ,CriminalBehaviour,Physical/Verbal Agression,1
88,88,2009,1,3-Tuesday,MATRIZ,CriminalBehaviour,Theft,1
89,89,2009,1,3-Tuesday,PINHEIRINHO,CriminalBehaviour,Break-in,1
90,90,2009,1,3-Tuesday,PINHEIRINHO,CriminalBehaviour,Theft,1
91,91,2009,1,3-Tuesday,PORTÃO,CriminalBehaviour,Break-in,2
92,92,2009,1,3-Tuesday,PORTÃO,CriminalBehaviour,Maltreatment,1
93,93,2009,1,3-Tuesday,PORTÃO,CriminalBehaviour,Robbery,2
94,94,2009,1,3-Tuesday,SANTA FELICIDADE,CriminalBehaviour,Illitcit Substance,3
95,95,2009,1,3-Tuesday,SANTA FELICIDADE,CriminalBehaviour,Robbery,1
96,96,2009,1,4-Wednesday,BAIRRO NOVO,CriminalBehaviour,Break-in,1
97,97,2009,1,4-Wednesday,BAIRRO NOVO,CriminalBehaviour,Crime apology,1
98,98,2009,1,4-Wednesday,BAIRRO NOVO,CriminalBehaviour,Theft,1
99,99,2009,1,4-Wednesday,BOA VISTA,CriminalBehaviour,Break-in,3
100,100,2009,1,4-Wednesday,BOA VISTA,CriminalBehaviour,Illitcit Substance,1
101,101,2009,1,4-Wednesday,BOA VISTA,CriminalBehaviour,Theft,2
102,102,2009,1,4-Wednesday,BOQUEIRÃO,CriminalBehaviour,Break-in,2
103,103,2009,1,4-Wednesday,BOQUEIRÃO,CriminalBehaviour,Physical/Verbal Agression,2
104,104,2009,1,4-Wednesday,BOQUEIRÃO,CriminalBehaviour,Robbery,1
105,105,2009,1,4-Wednesday,CAJURU,CriminalBehaviour,Robbery,1
106,106,2009,1,4-Wednesday,CAJURU,CriminalBehaviour,Theft,2
107,107,2009,1,4-Wednesday,CIC,CriminalBehaviour,Agression,1
108,108,2009,1,4-Wednesday,CIC,CriminalBehaviour,Break-in,1
109,109,2009,1,4-Wednesday,CIC,CriminalBehaviour,Fishing in Prohibited Places,1
110,110,2009,1,4-Wednesday,MATRIZ,CriminalBehaviour,Agression,1
111,111,2009,1,4-Wednesday,MATRIZ,CriminalBehaviour,Illitcit Substance,6
112,112,2009,1,4-Wednesday,MATRIZ,CriminalBehaviour,Obscene/libelous acts,1
113,113,2009,1,4-Wednesday,MATRIZ,CriminalBehaviour,Physical/Verbal Agression,1
114,114,2009,1,4-Wednesday,MATRIZ,CriminalBehaviour,Robbery,3
115,115,2009,1,4-Wednesday,MATRIZ,CriminalBehaviour,Theft,2
116,116,2009,1,4-Wednesday,PINHEIRINHO,CriminalBehaviour,Illitcit Substance,2
117,117,2009,1,4-Wednesday,PINHEIRINHO,CriminalBehaviour,Physical/Verbal Agression,1
118,118,2009,1,4-Wednesday,PINHEIRINHO,CriminalBehaviour,Theft,1
119,119,2009,1,4-Wednesday,PORTÃO,CriminalBehaviour,Illitcit Substance,1
120,120,2009,1,4-Wednesday,PORTÃO,CriminalBehaviour,Misuse of transport card,1
121,121,2009,1,4-Wednesday,PORTÃO,CriminalBehaviour,Theft,3
122,122,2009,1,4-Wednesday,SANTA FELICIDADE,CriminalBehaviour,Break-in,1
123,123,2009,1,4-Wednesday,SANTA FELICIDADE,CriminalBehaviour,Robbery,2
124,124,2009,1,4-Wednesday,SANTA FELICIDADE,CriminalBehaviour,Theft,1
125,125,2009,1,5-Thursday,BAIRRO NOVO,CriminalBehaviour,Robbery,1
126,126,2009,1,5-Thursday,BOA VISTA,CriminalBehaviour,Agression,1
127,127,2009,1,5-Thursday,BOA VISTA,CriminalBehaviour,Break-in,5
128,128,2009,1,5-Thursday,BOA VISTA,CriminalBehaviour,Corporal injury,1
129,129,2009,1,5-Thursday,BOA VISTA,CriminalBehaviour,Gunshot,1
130,130,2009,1,5-Thursday,BOA VISTA,CriminalBehaviour,Physical/Verbal Agression,1
131,131,2009,1,5-Thursday,BOQUEIRÃO,CriminalBehaviour,Break-in,3
132,132,2009,1,5-Thursday,BOQUEIRÃO,CriminalBehaviour,Misuse of transport card,1
133,133,2009,1,5-Thursday,CAJURU,CriminalBehaviour,Break-in,1
134,134,2009,1,5-Thursday,CIC,CriminalBehaviour,Break-in,6
135,135,2009,1,5-Thursday,MATRIZ,CriminalBehaviour,Agression,3
136,136,2009,1,5-Thursday,MATRIZ,CriminalBehaviour,Break-in,1
137,137,2009,1,5-Thursday,MATRIZ,CriminalBehaviour,Favouring prostitution,1
138,138,2009,1,5-Thursday,MATRIZ,CriminalBehaviour,Illitcit Substance,6
139,139,2009,1,5-Thursday,MATRIZ,CriminalBehaviour,Robbery,4
140,140,2009,1,5-Thursday,MATRIZ,CriminalBehaviour,Theft,2
141,141,2009,1,5-Thursday,PINHEIRINHO,CriminalBehaviour,Break-in,1
142,142,2009,1,5-Thursday,PINHEIRINHO,CriminalBehaviour,Illitcit Substance,1
143,143,2009,1,5-Thursday,PORTÃO,CriminalBehaviour,Break-in,1
144,144,2009,1,5-Thursday,PORTÃO,CriminalBehaviour,Obscene/libelous acts,1
145,145,2009,1,5-Thursday,PORTÃO,CriminalBehaviour,Physical/Verbal Agression,1
146,146,2009,1,5-Thursday,PORTÃO,CriminalBehaviour,Robbery,1
147,147,2009,1,5-Thursday,PORTÃO,CriminalBehaviour,Theft,1
148,148,2009,1,5-Thursday,REGIÃO METROPOLITANA,CriminalBehaviour,Theft,1
149,149,2009,1,6-Friday,BAIRRO NOVO,CriminalBehaviour,Break-in,1
150,150,2009,1,6-Friday,BAIRRO NOVO,CriminalBehaviour,Physical/Verbal Agression,2
151,151,2009,1,6-Friday,BAIRRO NOVO,CriminalBehaviour,Robbery,1
152,152,2009,1,6-Friday,BAIRRO NOVO,CriminalBehaviour,Theft,1
153,153,2009,1,6-Friday,BOA VISTA,CriminalBehaviour,Break-in,2
154,154,2009,1,6-Friday,BOA VISTA,CriminalBehaviour,Robbery,1
155,155,2009,1,6-Friday,BOQUEIRÃO,CriminalBehaviour,Physical/Verbal Agression,2
156,156,2009,1,6-Friday,CAJURU,CriminalBehaviour,Break-in,1
157,157,2009,1,6-Friday,CAJURU,CriminalBehaviour,Illitcit Substance,1
158,158,2009,1,6-Friday,CAJURU,CriminalBehaviour,Robbery,1
159,159,2009,1,6-Friday,CAJURU,CriminalBehaviour,Theft,1
160,160,2009,1,6-Friday,CIC,CriminalBehaviour,Break-in,3
161,161,2009,1,6-Friday,CIC,CriminalBehaviour,Misuse of transport card,1
162,162,2009,1,6-Friday,CIC,CriminalBehaviour,Robbery,1
163,163,2009,1,6-Friday,CIC,CriminalBehaviour,Theft,1
164,164,2009,1,6-Friday,MATRIZ,CriminalBehaviour,Break-in,2
165,165,2009,1,6-Friday,MATRIZ,CriminalBehaviour,Favouring prostitution,1
166,166,2009,1,6-Friday,MATRIZ,CriminalBehaviour,Illitcit Substance,10
167,167,2009,1,6-Friday,MATRIZ,CriminalBehaviour,Obscene/libelous acts,1
168,168,2009,1,6-Friday,MATRIZ,CriminalBehaviour,Physical/Verbal Agression,2
169,169,2009,1,6-Friday,MATRIZ,CriminalBehaviour,Robbery,1
170,170,2009,1,6-Friday,MATRIZ,CriminalBehaviour,Supplying alcohol to minors,1
171,171,2009,1,6-Friday,MATRIZ,CriminalBehaviour,Theft,1
172,172,2009,1,6-Friday,PINHEIRINHO,CriminalBehaviour,Break-in,1
173,173,2009,1,6-Friday,PINHEIRINHO,CriminalBehaviour,Robbery,1
174,174,2009,1,6-Friday,PINHEIRINHO,CriminalBehaviour,Theft,1
175,175,2009,1,6-Friday,PORTÃO,CriminalBehaviour,Break-in,2
176,176,2009,1,6-Friday,PORTÃO,CriminalBehaviour,Illitcit Substance,1
177,177,2009,1,6-Friday,SANTA FELICIDADE,CriminalBehaviour,Break-in,1
178,178,2009,1,6-Friday,SANTA FELICIDADE,CriminalBehaviour,Illitcit Substance,1
179,179,2009,1,6-Friday,SANTA FELICIDADE,CriminalBehaviour,Physical/Verbal Agression,1
180,180,2009,1,7-Saturday,BAIRRO NOVO,CriminalBehaviour,Embezzlement,1
181,181,2009,1,7-Saturday,BAIRRO NOVO,CriminalBehaviour,Physical/Verbal Agression,1
182,182,2009,1,7-Saturday,BAIRRO NOVO,CriminalBehaviour,Theft,1
183,183,2009,1,7-Saturday,BOQUEIRÃO,CriminalBehaviour,Agression,2
184,184,2009,1,7-Saturday,BOQUEIRÃO,CriminalBehaviour,Break-in,1
185,185,2009,1,7-Saturday,BOQUEIRÃO,CriminalBehaviour,Fishing in Prohibited Places,1
186,186,2009,1,7-Saturday,BOQUEIRÃO,CriminalBehaviour,Misuse of transport card,1
187,187,2009,1,7-Saturday,BOQUEIRÃO,CriminalBehaviour,Robbery,1
188,188,2009,1,7-Saturday,CAJURU,CriminalBehaviour,Agression,2
189,189,2009,1,7-Saturday,CAJURU,CriminalBehaviour,Break-in,3
190,190,2009,1,7-Saturday,CAJURU,CriminalBehaviour,Physical/Verbal Agression,2
191,191,2009,1,7-Saturday,CIC,CriminalBehaviour,Break-in,4
192,192,2009,1,7-Saturday,CIC,CriminalBehaviour,Illitcit Substance,1
193,193,2009,1,7-Saturday,CIC,CriminalBehaviour,Physical/Verbal Agression,1
194,194,2009,1,7-Saturday,CIC,CriminalBehaviour,Robbery,1
195,195,2009,1,7-Saturday,MATRIZ,CriminalBehaviour,Agression,5
196,196,2009,1,7-Saturday,MATRIZ,CriminalBehaviour,Break-in,1
197,197,2009,1,7-Saturday,MATRIZ,CriminalBehaviour,Illitcit Substance,5
198,198,2009,1,7-Saturday,MATRIZ,CriminalBehaviour,Misuse of transport card,1
199,199,2009,1,7-Saturday,MATRIZ,CriminalBehaviour,Physical/Verbal Agression,1
200,200,2009,1,7-Saturday,MATRIZ,CriminalBehaviour,Robbery,1
201,201,2009,1,7-Saturday,PINHEIRINHO,CriminalBehaviour,Break-in,2
202,202,2009,1,7-Saturday,PINHEIRINHO,CriminalBehaviour,False money,1
203,203,2009,1,7-Saturday,PORTÃO,CriminalBehaviour,Agression,2
204,204,2009,1,7-Saturday,PORTÃO,CriminalBehaviour,Break-in,2
205,205,2009,1,7-Saturday,PORTÃO,CriminalBehaviour,Physical/Verbal Agression,2
206,206,2009,1,7-Saturday,PORTÃO,CriminalBehaviour,Robbery,1
207,207,2009,1,7-Saturday,SANTA FELICIDADE,CriminalBehaviour,Break-in,1
208,208,2009,1,7-Saturday,SANTA FELICIDADE,CriminalBehaviour,Fishing in Prohibited Places,2
209,209,2009,1,7-Saturday,SANTA FELICIDADE,CriminalBehaviour,Physical/Verbal Agression,1
210,210,2009,2,1-Sunday,BAIRRO NOVO,CriminalBehaviour,Robbery,1
211,211,2009,2,1-Sunday,BOA VISTA,CriminalBehaviour,Break-in,2
212,212,2009,2,1-Sunday,BOQUEIRÃO,CriminalBehaviour,Theft,2
213,213,2009,2,1-Sunday,CAJURU,CriminalBehaviour,Agression,1
214,214,2009,2,1-Sunday,CAJURU,CriminalBehaviour,Break-in,1
215,215,2009,2,1-Sunday,CAJURU,CriminalBehaviour,Robbery,1
216,216,2009,2,1-Sunday,CIC,CriminalBehaviour,Break-in,2
217,217,2009,2,1-Sunday,CIC,CriminalBehaviour,Robbery,1
218,218,2009,2,1-Sunday,CIC,CriminalBehaviour,Theft,1
219,219,2009,2,1-Sunday,MATRIZ,CriminalBehaviour,Agression,1
220,220,2009,2,1-Sunday,MATRIZ,CriminalBehaviour,Break-in,1
221,221,2009,2,1-Sunday,MATRIZ,CriminalBehaviour,Illitcit Substance,5
222,222,2009,2,1-Sunday,MATRIZ,CriminalBehaviour,Obscene/libelous acts,1
223,223,2009,2,1-Sunday,MATRIZ,CriminalBehaviour,Robbery,2
224,224,2009,2,1-Sunday,MATRIZ,CriminalBehaviour,Theft,2
225,225,2009,2,1-Sunday,PINHEIRINHO,CriminalBehaviour,Break-in,1
226,226,2009,2,1-Sunday,PINHEIRINHO,CriminalBehaviour,Robbery,1
227,227,2009,2,1-Sunday,PINHEIRINHO,CriminalBehaviour,Theft,1
228,228,2009,2,1-Sunday,PORTÃO,CriminalBehaviour,Agression,1
229,229,2009,2,1-Sunday,PORTÃO,CriminalBehaviour,Break-in,2
230,230,2009,2,1-Sunday,PORTÃO,CriminalBehaviour,Physical/Verbal Agression,1
231,231,2009,2,1-Sunday,PORTÃO,CriminalBehaviour,Theft,1
232,232,2009,2,1-Sunday,SANTA FELICIDADE,CriminalBehaviour,Agression,1
233,233,2009,2,1-Sunday,SANTA FELICIDADE,CriminalBehaviour,Break-in,3
234,234,2009,2,1-Sunday,SANTA FELICIDADE,CriminalBehaviour,Gunshot,1
235,235,2009,2,2-Monday,BAIRRO NOVO,CriminalBehaviour,Physical/Verbal Agression,1
236,236,2009,2,2-Monday,BAIRRO NOVO,CriminalBehaviour,Robbery,1
237,237,2009,2,2-Monday,BAIRRO NOVO,CriminalBehaviour,Sexual assault/rape,1
238,238,2009,2,2-Monday,BAIRRO NOVO,CriminalBehaviour,Theft,1
239,239,2009,2,2-Monday,BOA VISTA,CriminalBehaviour,Break-in,3
240,240,2009,2,2-Monday,BOA VISTA,CriminalBehaviour,Illitcit Substance,1
241,241,2009,2,2-Monday,BOA VISTA,CriminalBehaviour,Theft,1
242,242,2009,2,2-Monday,BOQUEIRÃO,CriminalBehaviour,Physical/Verbal Agression,1
243,243,2009,2,2-Monday,CIC,CriminalBehaviour,Break-in,3
244,244,2009,2,2-Monday,MATRIZ,CriminalBehaviour,Illitcit Substance,5
245,245,2009,2,2-Monday,MATRIZ,CriminalBehaviour,Obscene/libelous acts,3
246,246,2009,2,2-Monday,MATRIZ,CriminalBehaviour,Physical/Verbal Agression,1
247,247,2009,2,2-Monday,MATRIZ,CriminalBehaviour,Robbery,1
248,248,2009,2,2-Monday,MATRIZ,CriminalBehaviour,Theft,2
249,249,2009,2,2-Monday,PINHEIRINHO,CriminalBehaviour,Robbery,1
250,250,2009,2,2-Monday,PORTÃO,CriminalBehaviour,Break-in,1
251,251,2009,2,2-Monday,PORTÃO,CriminalBehaviour,Obscene/libelous acts,1
252,252,2009,2,2-Monday,PORTÃO,CriminalBehaviour,Robbery,2
253,253,2009,2,2-Monday,PORTÃO,CriminalBehaviour,Sexual harassment,1
254,254,2009,2,2-Monday,SANTA FELICIDADE,CriminalBehaviour,Break-in,1
255,255,2009,2,3-Tuesday,BAIRRO NOVO,CriminalBehaviour,Illitcit Substance,1
256,256,2009,2,3-Tuesday,BAIRRO NOVO,CriminalBehaviour,Robbery,1
257,257,2009,2,3-Tuesday,BOA VISTA,CriminalBehaviour,Illegal possession,1
258,258,2009,2,3-Tuesday,BOA VISTA,CriminalBehaviour,Robbery,1
259,259,2009,2,3-Tuesday,BOQUEIRÃO,CriminalBehaviour,Fishing in Prohibited Places,2
260,260,2009,2,3-Tuesday,BOQUEIRÃO,CriminalBehaviour,Illitcit Substance,1
261,261,2009,2,3-Tuesday,CAJURU,CriminalBehaviour,Break-in,1
262,262,2009,2,3-Tuesday,CAJURU,CriminalBehaviour,Illitcit Substance,1
263,263,2009,2,3-Tuesday,CAJURU,CriminalBehaviour,Physical/Verbal Agression,1
264,264,2009,2,3-Tuesday,CIC,CriminalBehaviour,Physical/Verbal Agression,1
265,265,2009,2,3-Tuesday,CIC,CriminalBehaviour,Robbery,1
266,266,2009,2,3-Tuesday,MATRIZ,CriminalBehaviour,Agression,1
267,267,2009,2,3-Tuesday,MATRIZ,CriminalBehaviour,Break-in,3
268,268,2009,2,3-Tuesday,MATRIZ,CriminalBehaviour,Illitcit Substance,10
269,269,2009,2,3-Tuesday,MATRIZ,CriminalBehaviour,Irregular Construction,1
270,270,2009,2,3-Tuesday,MATRIZ,CriminalBehaviour,Obscene/libelous acts,1
271,271,2009,2,3-Tuesday,MATRIZ,CriminalBehaviour,Robbery,1
272,272,2009,2,3-Tuesday,PINHEIRINHO,CriminalBehaviour,Break-in,1
273,273,2009,2,3-Tuesday,PINHEIRINHO,CriminalBehaviour,Illitcit Substance,1
274,274,2009,2,3-Tuesday,PORTÃO,CriminalBehaviour,Agression,2
275,275,2009,2,3-Tuesday,PORTÃO,CriminalBehaviour,Illitcit Substance,1
276,276,2009,2,3-Tuesday,PORTÃO,CriminalBehaviour,Obscene/libelous acts,1
277,277,2009,2,3-Tuesday,PORTÃO,CriminalBehaviour,Theft,2
278,278,2009,2,4-Wednesday,BOA VISTA,CriminalBehaviour,Agression,1
279,279,2009,2,4-Wednesday,BOA VISTA,CriminalBehaviour,Break-in,2
280,280,2009,2,4-Wednesday,BOQUEIRÃO,CriminalBehaviour,Agression,2
281,281,2009,2,4-Wednesday,BOQUEIRÃO,CriminalBehaviour,Illitcit Substance,1
282,282,2009,2,4-Wednesday,BOQUEIRÃO,CriminalBehaviour,Theft,1
283,283,2009,2,4-Wednesday,CAJURU,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
284,284,2009,2,4-Wednesday,CAJURU,CriminalBehaviour,Illitcit Substance,2
285,285,2009,2,4-Wednesday,CAJURU,CriminalBehaviour,Theft,1
286,286,2009,2,4-Wednesday,CIC,CriminalBehaviour,Fishing in Prohibited Places,1
287,287,2009,2,4-Wednesday,CIC,CriminalBehaviour,Illitcit Substance,1
288,288,2009,2,4-Wednesday,CIC,CriminalBehaviour,Robbery,1
289,289,2009,2,4-Wednesday,MATRIZ,CriminalBehaviour,Break-in,1
290,290,2009,2,4-Wednesday,MATRIZ,CriminalBehaviour,Environmental crime,1
291,291,2009,2,4-Wednesday,MATRIZ,CriminalBehaviour,Illitcit Substance,6
292,292,2009,2,4-Wednesday,MATRIZ,CriminalBehaviour,Robbery,1
293,293,2009,2,4-Wednesday,MATRIZ,CriminalBehaviour,Theft,1
294,294,2009,2,4-Wednesday,PINHEIRINHO,CriminalBehaviour,Break-in,1
295,295,2009,2,4-Wednesday,PINHEIRINHO,CriminalBehaviour,Robbery,2
296,296,2009,2,4-Wednesday,PORTÃO,CriminalBehaviour,Break-in,1
297,297,2009,2,4-Wednesday,PORTÃO,CriminalBehaviour,Fishing in Prohibited Places,1
298,298,2009,2,4-Wednesday,PORTÃO,CriminalBehaviour,Theft,1
299,299,2009,2,4-Wednesday,SANTA FELICIDADE,CriminalBehaviour,Break-in,1
300,300,2009,2,4-Wednesday,SANTA FELICIDADE,CriminalBehaviour,Illitcit Substance,1
301,301,2009,2,4-Wednesday,SANTA FELICIDADE,CriminalBehaviour,Obscene/libelous acts,1
302,302,2009,2,4-Wednesday,SANTA FELICIDADE,CriminalBehaviour,Physical/Verbal Agression,1
303,303,2009,2,5-Thursday,BAIRRO NOVO,CriminalBehaviour,Break-in,1
304,304,2009,2,5-Thursday,BAIRRO NOVO,CriminalBehaviour,Robbery,1
305,305,2009,2,5-Thursday,BAIRRO NOVO,CriminalBehaviour,Theft,1
306,306,2009,2,5-Thursday,BOA VISTA,CriminalBehaviour,Break-in,4
307,307,2009,2,5-Thursday,BOA VISTA,CriminalBehaviour,Fishing in Prohibited Places,1
308,308,2009,2,5-Thursday,BOQUEIRÃO,CriminalBehaviour,Physical/Verbal Agression,1
309,309,2009,2,5-Thursday,BOQUEIRÃO,CriminalBehaviour,Robbery,1
310,310,2009,2,5-Thursday,BOQUEIRÃO,CriminalBehaviour,Theft,2
311,311,2009,2,5-Thursday,CAJURU,CriminalBehaviour,Break-in,1
312,312,2009,2,5-Thursday,CAJURU,CriminalBehaviour,Obscene/libelous acts,1
313,313,2009,2,5-Thursday,CIC,CriminalBehaviour,Agression,1
314,314,2009,2,5-Thursday,CIC,CriminalBehaviour,Break-in,2
315,315,2009,2,5-Thursday,CIC,CriminalBehaviour,Murder,1
316,316,2009,2,5-Thursday,MATRIZ,CriminalBehaviour,Break-in,1
317,317,2009,2,5-Thursday,MATRIZ,CriminalBehaviour,Illitcit Substance,12
318,318,2009,2,5-Thursday,MATRIZ,CriminalBehaviour,Obscene/libelous acts,1
319,319,2009,2,5-Thursday,MATRIZ,CriminalBehaviour,Physical/Verbal Agression,1
320,320,2009,2,5-Thursday,MATRIZ,CriminalBehaviour,Robbery,2
321,321,2009,2,5-Thursday,MATRIZ,CriminalBehaviour,Theft,3
322,322,2009,2,5-Thursday,PINHEIRINHO,CriminalBehaviour,Obscene/libelous acts,1
323,323,2009,2,5-Thursday,PINHEIRINHO,CriminalBehaviour,Robbery,2
