,index,year,month,week_day,weekDay_rads,categories,problem_type_1,count
66,66,2009,1,7-Saturday,1.5707963267948966,CriminalBehaviour,Agression,11
67,67,2009,1,7-Saturday,1.5707963267948966,CriminalBehaviour,Break-in,14
68,68,2009,1,7-Saturday,1.5707963267948966,CriminalBehaviour,Embezzlement,1
69,69,2009,1,7-Saturday,1.5707963267948966,CriminalBehaviour,False money,1
70,70,2009,1,7-Saturday,1.5707963267948966,CriminalBehaviour,Fishing in Prohibited Places,3
71,71,2009,1,7-Saturday,1.5707963267948966,CriminalBehaviour,Illitcit Substance,6
72,72,2009,1,7-Saturday,1.5707963267948966,CriminalBehaviour,Misuse of transport card,2
73,73,2009,1,7-Saturday,1.5707963267948966,CriminalBehaviour,Physical/Verbal Agression,8
74,74,2009,1,7-Saturday,1.5707963267948966,CriminalBehaviour,Robbery,4
75,75,2009,1,7-Saturday,1.5707963267948966,CriminalBehaviour,Theft,1
76,76,2009,2,1-Sunday,2.4683942278205517,CriminalBehaviour,Agression,4
77,77,2009,2,1-Sunday,2.4683942278205517,CriminalBehaviour,Break-in,12
78,78,2009,2,1-Sunday,2.4683942278205517,CriminalBehaviour,Gunshot,1
79,79,2009,2,1-Sunday,2.4683942278205517,CriminalBehaviour,Illitcit Substance,5
80,80,2009,2,1-Sunday,2.4683942278205517,CriminalBehaviour,Obscene/libelous acts,1
81,81,2009,2,1-Sunday,2.4683942278205517,CriminalBehaviour,Physical/Verbal Agression,1
82,82,2009,2,1-Sunday,2.4683942278205517,CriminalBehaviour,Robbery,6
83,83,2009,2,1-Sunday,2.4683942278205517,CriminalBehaviour,Theft,7
84,84,2009,2,2-Monday,3.365992128846207,CriminalBehaviour,Break-in,8
85,85,2009,2,2-Monday,3.365992128846207,CriminalBehaviour,Illitcit Substance,6
86,86,2009,2,2-Monday,3.365992128846207,CriminalBehaviour,Obscene/libelous acts,4
87,87,2009,2,2-Monday,3.365992128846207,CriminalBehaviour,Physical/Verbal Agression,3
88,88,2009,2,2-Monday,3.365992128846207,CriminalBehaviour,Robbery,5
89,89,2009,2,2-Monday,3.365992128846207,CriminalBehaviour,Sexual assault/rape,1
90,90,2009,2,2-Monday,3.365992128846207,CriminalBehaviour,Sexual harassment,1
91,91,2009,2,2-Monday,3.365992128846207,CriminalBehaviour,Theft,4
92,92,2009,2,3-Tuesday,4.263590029871862,CriminalBehaviour,Agression,3
93,93,2009,2,3-Tuesday,4.263590029871862,CriminalBehaviour,Break-in,5
94,94,2009,2,3-Tuesday,4.263590029871862,CriminalBehaviour,Fishing in Prohibited Places,2
95,95,2009,2,3-Tuesday,4.263590029871862,CriminalBehaviour,Illegal possession,1
96,96,2009,2,3-Tuesday,4.263590029871862,CriminalBehaviour,Illitcit Substance,15
97,97,2009,2,3-Tuesday,4.263590029871862,CriminalBehaviour,Irregular Construction,1
98,98,2009,2,3-Tuesday,4.263590029871862,CriminalBehaviour,Obscene/libelous acts,2
99,99,2009,2,3-Tuesday,4.263590029871862,CriminalBehaviour,Physical/Verbal Agression,2
100,100,2009,2,3-Tuesday,4.263590029871862,CriminalBehaviour,Robbery,4
101,101,2009,2,3-Tuesday,4.263590029871862,CriminalBehaviour,Theft,2
102,102,2009,2,4-Wednesday,5.161187930897517,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
103,103,2009,2,4-Wednesday,5.161187930897517,CriminalBehaviour,Agression,3
104,104,2009,2,4-Wednesday,5.161187930897517,CriminalBehaviour,Break-in,6
105,105,2009,2,4-Wednesday,5.161187930897517,CriminalBehaviour,Environmental crime,1
106,106,2009,2,4-Wednesday,5.161187930897517,CriminalBehaviour,Fishing in Prohibited Places,2
107,107,2009,2,4-Wednesday,5.161187930897517,CriminalBehaviour,Illitcit Substance,11
108,108,2009,2,4-Wednesday,5.161187930897517,CriminalBehaviour,Obscene/libelous acts,1
109,109,2009,2,4-Wednesday,5.161187930897517,CriminalBehaviour,Physical/Verbal Agression,1
110,110,2009,2,4-Wednesday,5.161187930897517,CriminalBehaviour,Robbery,4
111,111,2009,2,4-Wednesday,5.161187930897517,CriminalBehaviour,Theft,4
112,112,2009,2,5-Thursday,6.058785831923172,CriminalBehaviour,Agression,1
113,113,2009,2,5-Thursday,6.058785831923172,CriminalBehaviour,Break-in,11
114,114,2009,2,5-Thursday,6.058785831923172,CriminalBehaviour,Fishing in Prohibited Places,1
115,115,2009,2,5-Thursday,6.058785831923172,CriminalBehaviour,Illitcit Substance,13
116,116,2009,2,5-Thursday,6.058785831923172,CriminalBehaviour,Murder,1
117,117,2009,2,5-Thursday,6.058785831923172,CriminalBehaviour,Obscene/libelous acts,4
118,118,2009,2,5-Thursday,6.058785831923172,CriminalBehaviour,Physical/Verbal Agression,2
119,119,2009,2,5-Thursday,6.058785831923172,CriminalBehaviour,Robbery,10
120,120,2009,2,5-Thursday,6.058785831923172,CriminalBehaviour,Sexual harassment,1
121,121,2009,2,5-Thursday,6.058785831923172,CriminalBehaviour,Theft,6
122,122,2009,2,6-Friday,0.6731984257692414,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
123,123,2009,2,6-Friday,0.6731984257692414,CriminalBehaviour,Abuse of incapacitated persons,1
124,124,2009,2,6-Friday,0.6731984257692414,CriminalBehaviour,Agression,5
125,125,2009,2,6-Friday,0.6731984257692414,CriminalBehaviour,Break-in,17
126,126,2009,2,6-Friday,0.6731984257692414,CriminalBehaviour,False money,1
127,127,2009,2,6-Friday,0.6731984257692414,CriminalBehaviour,Illitcit Substance,9
128,128,2009,2,6-Friday,0.6731984257692414,CriminalBehaviour,Obscene/libelous acts,1
129,129,2009,2,6-Friday,0.6731984257692414,CriminalBehaviour,Physical/Verbal Agression,4
130,130,2009,2,6-Friday,0.6731984257692414,CriminalBehaviour,Robbery,9
131,131,2009,2,6-Friday,0.6731984257692414,CriminalBehaviour,Theft,7
132,132,2009,2,7-Saturday,1.5707963267948966,CriminalBehaviour,Agression,8
133,133,2009,2,7-Saturday,1.5707963267948966,CriminalBehaviour,Break-in,15
134,134,2009,2,7-Saturday,1.5707963267948966,CriminalBehaviour,Fishing in Prohibited Places,1
135,135,2009,2,7-Saturday,1.5707963267948966,CriminalBehaviour,Gambling,1
136,136,2009,2,7-Saturday,1.5707963267948966,CriminalBehaviour,Illitcit Substance,11
137,137,2009,2,7-Saturday,1.5707963267948966,CriminalBehaviour,Obscene/libelous acts,1
138,138,2009,2,7-Saturday,1.5707963267948966,CriminalBehaviour,Physical/Verbal Agression,3
139,139,2009,2,7-Saturday,1.5707963267948966,CriminalBehaviour,Robbery,13
140,140,2009,2,7-Saturday,1.5707963267948966,CriminalBehaviour,Theft,1
141,141,2009,3,1-Sunday,2.4683942278205517,CriminalBehaviour,Agression,15
142,142,2009,3,1-Sunday,2.4683942278205517,CriminalBehaviour,Break-in,20
143,143,2009,3,1-Sunday,2.4683942278205517,CriminalBehaviour,Environmental crime,1
144,144,2009,3,1-Sunday,2.4683942278205517,CriminalBehaviour,Fraud (monetary),1
145,145,2009,3,1-Sunday,2.4683942278205517,CriminalBehaviour,Illitcit Substance,6
146,146,2009,3,1-Sunday,2.4683942278205517,CriminalBehaviour,Obscene/libelous acts,2
147,147,2009,3,1-Sunday,2.4683942278205517,CriminalBehaviour,Physical/Verbal Agression,3
148,148,2009,3,1-Sunday,2.4683942278205517,CriminalBehaviour,Rape,1
149,149,2009,3,1-Sunday,2.4683942278205517,CriminalBehaviour,Robbery,9
150,150,2009,3,1-Sunday,2.4683942278205517,CriminalBehaviour,Sexual assault/rape,1
151,151,2009,3,1-Sunday,2.4683942278205517,CriminalBehaviour,Theft,6
152,152,2009,3,2-Monday,3.365992128846207,CriminalBehaviour,Agression,4
153,153,2009,3,2-Monday,3.365992128846207,CriminalBehaviour,Break-in,15
154,154,2009,3,2-Monday,3.365992128846207,CriminalBehaviour,Environmental crime,1
155,155,2009,3,2-Monday,3.365992128846207,CriminalBehaviour,Fishing in Prohibited Places,2
156,156,2009,3,2-Monday,3.365992128846207,CriminalBehaviour,Gunshot,1
157,157,2009,3,2-Monday,3.365992128846207,CriminalBehaviour,Illegal possession,1
158,158,2009,3,2-Monday,3.365992128846207,CriminalBehaviour,Illitcit Substance,11
159,159,2009,3,2-Monday,3.365992128846207,CriminalBehaviour,Obscene/libelous acts,2
160,160,2009,3,2-Monday,3.365992128846207,CriminalBehaviour,Physical/Verbal Agression,4
161,161,2009,3,2-Monday,3.365992128846207,CriminalBehaviour,Robbery,10
162,162,2009,3,2-Monday,3.365992128846207,CriminalBehaviour,Theft,3
163,163,2009,3,3-Tuesday,4.263590029871862,CriminalBehaviour,Agression,1
164,164,2009,3,3-Tuesday,4.263590029871862,CriminalBehaviour,Break-in,17
165,165,2009,3,3-Tuesday,4.263590029871862,CriminalBehaviour,Illegal possession,2
166,166,2009,3,3-Tuesday,4.263590029871862,CriminalBehaviour,Illitcit Substance,10
167,167,2009,3,3-Tuesday,4.263590029871862,CriminalBehaviour,Irregular Construction,1
168,168,2009,3,3-Tuesday,4.263590029871862,CriminalBehaviour,Misuse of transport card,3
169,169,2009,3,3-Tuesday,4.263590029871862,CriminalBehaviour,Physical/Verbal Agression,2
170,170,2009,3,3-Tuesday,4.263590029871862,CriminalBehaviour,Robbery,10
171,171,2009,3,3-Tuesday,4.263590029871862,CriminalBehaviour,Theft,2
172,172,2009,3,4-Wednesday,5.161187930897517,CriminalBehaviour,Agression,2
173,173,2009,3,4-Wednesday,5.161187930897517,CriminalBehaviour,Break-in,11
174,174,2009,3,4-Wednesday,5.161187930897517,CriminalBehaviour,Illitcit Substance,5
175,175,2009,3,4-Wednesday,5.161187930897517,CriminalBehaviour,Misuse of transport card,2
176,176,2009,3,4-Wednesday,5.161187930897517,CriminalBehaviour,Obscene/libelous acts,1
177,177,2009,3,4-Wednesday,5.161187930897517,CriminalBehaviour,Robbery,5
178,178,2009,3,4-Wednesday,5.161187930897517,CriminalBehaviour,Theft,7
179,179,2009,3,5-Thursday,6.058785831923172,CriminalBehaviour,Break-in,12
180,180,2009,3,5-Thursday,6.058785831923172,CriminalBehaviour,False Identity,1
181,181,2009,3,5-Thursday,6.058785831923172,CriminalBehaviour,Fishing in Prohibited Places,2
182,182,2009,3,5-Thursday,6.058785831923172,CriminalBehaviour,Illegal possession,1
183,183,2009,3,5-Thursday,6.058785831923172,CriminalBehaviour,Illitcit Substance,5
184,184,2009,3,5-Thursday,6.058785831923172,CriminalBehaviour,Misuse of transport card,2
185,185,2009,3,5-Thursday,6.058785831923172,CriminalBehaviour,Obscene/libelous acts,2
186,186,2009,3,5-Thursday,6.058785831923172,CriminalBehaviour,Physical/Verbal Agression,5
187,187,2009,3,5-Thursday,6.058785831923172,CriminalBehaviour,Robbery,7
188,188,2009,3,5-Thursday,6.058785831923172,CriminalBehaviour,Theft,2
189,189,2009,3,6-Friday,0.6731984257692414,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
190,190,2009,3,6-Friday,0.6731984257692414,CriminalBehaviour,Agression,2
191,191,2009,3,6-Friday,0.6731984257692414,CriminalBehaviour,Break-in,14
192,192,2009,3,6-Friday,0.6731984257692414,CriminalBehaviour,Corporal injury,1
193,193,2009,3,6-Friday,0.6731984257692414,CriminalBehaviour,Gunshot,1
194,194,2009,3,6-Friday,0.6731984257692414,CriminalBehaviour,Illitcit Substance,10
195,195,2009,3,6-Friday,0.6731984257692414,CriminalBehaviour,Misuse of transport card,1
196,196,2009,3,6-Friday,0.6731984257692414,CriminalBehaviour,Physical/Verbal Agression,2
197,197,2009,3,6-Friday,0.6731984257692414,CriminalBehaviour,Robbery,6
198,198,2009,3,6-Friday,0.6731984257692414,CriminalBehaviour,Sexual harassment,2
199,199,2009,3,6-Friday,0.6731984257692414,CriminalBehaviour,Theft,6
200,200,2009,3,7-Saturday,1.5707963267948966,CriminalBehaviour,Agression,4
201,201,2009,3,7-Saturday,1.5707963267948966,CriminalBehaviour,Break-in,12
202,202,2009,3,7-Saturday,1.5707963267948966,CriminalBehaviour,Fishing in Prohibited Places,1
203,203,2009,3,7-Saturday,1.5707963267948966,CriminalBehaviour,Illegal possession,1
204,204,2009,3,7-Saturday,1.5707963267948966,CriminalBehaviour,Illitcit Substance,4
205,205,2009,3,7-Saturday,1.5707963267948966,CriminalBehaviour,Obscene/libelous acts,1
206,206,2009,3,7-Saturday,1.5707963267948966,CriminalBehaviour,Physical/Verbal Agression,3
207,207,2009,3,7-Saturday,1.5707963267948966,CriminalBehaviour,Prostitution,1
208,208,2009,3,7-Saturday,1.5707963267948966,CriminalBehaviour,Robbery,5
209,209,2009,3,7-Saturday,1.5707963267948966,CriminalBehaviour,Theft,5
210,210,2009,4,1-Sunday,2.4683942278205517,CriminalBehaviour,Agression,5
211,211,2009,4,1-Sunday,2.4683942278205517,CriminalBehaviour,Break-in,15
212,212,2009,4,1-Sunday,2.4683942278205517,CriminalBehaviour,Corporal injury,1
213,213,2009,4,1-Sunday,2.4683942278205517,CriminalBehaviour,Gunshot,1
214,214,2009,4,1-Sunday,2.4683942278205517,CriminalBehaviour,Illegal possession,1
215,215,2009,4,1-Sunday,2.4683942278205517,CriminalBehaviour,Illitcit Substance,1
216,216,2009,4,1-Sunday,2.4683942278205517,CriminalBehaviour,Misuse of transport card,1
217,217,2009,4,1-Sunday,2.4683942278205517,CriminalBehaviour,Physical/Verbal Agression,1
218,218,2009,4,1-Sunday,2.4683942278205517,CriminalBehaviour,Robbery,9
219,219,2009,4,1-Sunday,2.4683942278205517,CriminalBehaviour,Theft,2
220,220,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Agression,1
221,221,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Break-in,9
222,222,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Corporal injury,1
223,223,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Environmental crime,1
224,224,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Fishing in Prohibited Places,4
225,225,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Gunshot,2
226,226,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Illitcit Substance,5
227,227,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Obscene/libelous acts,3
228,228,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Physical/Verbal Agression,2
229,229,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Robbery,7
230,230,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Sexual harassment,1
231,231,2009,4,2-Monday,3.365992128846207,CriminalBehaviour,Theft,8
232,232,2009,4,3-Tuesday,4.263590029871862,CriminalBehaviour,Agression,4
233,233,2009,4,3-Tuesday,4.263590029871862,CriminalBehaviour,Break-in,15
234,234,2009,4,3-Tuesday,4.263590029871862,CriminalBehaviour,False money,1
235,235,2009,4,3-Tuesday,4.263590029871862,CriminalBehaviour,Fishing in Prohibited Places,1
236,236,2009,4,3-Tuesday,4.263590029871862,CriminalBehaviour,Illitcit Substance,11
237,237,2009,4,3-Tuesday,4.263590029871862,CriminalBehaviour,Obscene/libelous acts,2
238,238,2009,4,3-Tuesday,4.263590029871862,CriminalBehaviour,Physical/Verbal Agression,8
239,239,2009,4,3-Tuesday,4.263590029871862,CriminalBehaviour,Robbery,5
240,240,2009,4,3-Tuesday,4.263590029871862,CriminalBehaviour,Theft,4
241,241,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Agression,4
242,242,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Break-in,9
243,243,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Corporal injury,1
244,244,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Environmental crime,1
245,245,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Fishing in Prohibited Places,1
246,246,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Gunshot,1
247,247,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Illegal possession,2
248,248,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Illitcit Substance,9
249,249,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Misuse of transport card,1
250,250,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Obscene/libelous acts,3
251,251,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Physical/Verbal Agression,9
252,252,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Robbery,3
253,253,2009,4,4-Wednesday,5.161187930897517,CriminalBehaviour,Theft,8
254,254,2009,4,5-Thursday,6.058785831923172,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
255,255,2009,4,5-Thursday,6.058785831923172,CriminalBehaviour,Agression,1
256,256,2009,4,5-Thursday,6.058785831923172,CriminalBehaviour,Break-in,19
257,257,2009,4,5-Thursday,6.058785831923172,CriminalBehaviour,Fishing in Prohibited Places,18
258,258,2009,4,5-Thursday,6.058785831923172,CriminalBehaviour,Illitcit Substance,15
259,259,2009,4,5-Thursday,6.058785831923172,CriminalBehaviour,Misuse of transport card,1
260,260,2009,4,5-Thursday,6.058785831923172,CriminalBehaviour,Obscene/libelous acts,2
261,261,2009,4,5-Thursday,6.058785831923172,CriminalBehaviour,Physical/Verbal Agression,5
262,262,2009,4,5-Thursday,6.058785831923172,CriminalBehaviour,Robbery,12
263,263,2009,4,5-Thursday,6.058785831923172,CriminalBehaviour,Theft,10
264,264,2009,4,6-Friday,0.6731984257692414,CriminalBehaviour,Agression,1
265,265,2009,4,6-Friday,0.6731984257692414,CriminalBehaviour,Break-in,5
266,266,2009,4,6-Friday,0.6731984257692414,CriminalBehaviour,False money,1
267,267,2009,4,6-Friday,0.6731984257692414,CriminalBehaviour,Fishing in Prohibited Places,4
268,268,2009,4,6-Friday,0.6731984257692414,CriminalBehaviour,Illegal possession,1
269,269,2009,4,6-Friday,0.6731984257692414,CriminalBehaviour,Illitcit Substance,12
270,270,2009,4,6-Friday,0.6731984257692414,CriminalBehaviour,Maltreatment,1
271,271,2009,4,6-Friday,0.6731984257692414,CriminalBehaviour,Misuse of transport card,1
272,272,2009,4,6-Friday,0.6731984257692414,CriminalBehaviour,Robbery,8
273,273,2009,4,6-Friday,0.6731984257692414,CriminalBehaviour,Theft,4
274,274,2009,4,7-Saturday,1.5707963267948966,CriminalBehaviour,Agression,3
275,275,2009,4,7-Saturday,1.5707963267948966,CriminalBehaviour,Break-in,15
276,276,2009,4,7-Saturday,1.5707963267948966,CriminalBehaviour,Crime against individual liberty,1
277,277,2009,4,7-Saturday,1.5707963267948966,CriminalBehaviour,Fishing in Prohibited Places,1
278,278,2009,4,7-Saturday,1.5707963267948966,CriminalBehaviour,Gunshot,3
279,279,2009,4,7-Saturday,1.5707963267948966,CriminalBehaviour,Illegal possession,1
280,280,2009,4,7-Saturday,1.5707963267948966,CriminalBehaviour,Misuse of transport card,1
281,281,2009,4,7-Saturday,1.5707963267948966,CriminalBehaviour,Physical/Verbal Agression,2
282,282,2009,4,7-Saturday,1.5707963267948966,CriminalBehaviour,Rape,1
283,283,2009,4,7-Saturday,1.5707963267948966,CriminalBehaviour,Robbery,9
284,284,2009,4,7-Saturday,1.5707963267948966,CriminalBehaviour,Theft,3
285,285,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,Agression,6
286,286,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,Break-in,15
287,287,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,Corporal injury,1
288,288,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,False money,1
289,289,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,Gunshot,2
290,290,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,Illegal possession,2
291,291,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,Illitcit Substance,8
292,292,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,Irregular Construction,1
293,293,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,Obscene/libelous acts,2
294,294,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,Physical/Verbal Agression,5
295,295,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,Robbery,8
296,296,2009,5,1-Sunday,2.4683942278205517,CriminalBehaviour,Theft,7
297,297,2009,5,2-Monday,3.365992128846207,CriminalBehaviour,Agression,1
298,298,2009,5,2-Monday,3.365992128846207,CriminalBehaviour,Break-in,12
299,299,2009,5,2-Monday,3.365992128846207,CriminalBehaviour,Fishing in Prohibited Places,3
300,300,2009,5,2-Monday,3.365992128846207,CriminalBehaviour,Illitcit Substance,11
301,301,2009,5,2-Monday,3.365992128846207,CriminalBehaviour,Obscene/libelous acts,1
302,302,2009,5,2-Monday,3.365992128846207,CriminalBehaviour,Physical/Verbal Agression,4
303,303,2009,5,2-Monday,3.365992128846207,CriminalBehaviour,Possession of explosive device,1
304,304,2009,5,2-Monday,3.365992128846207,CriminalBehaviour,Robbery,2
305,305,2009,5,2-Monday,3.365992128846207,CriminalBehaviour,Sexual harassment,1
306,306,2009,5,2-Monday,3.365992128846207,CriminalBehaviour,Theft,3
307,307,2009,5,3-Tuesday,4.263590029871862,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
308,308,2009,5,3-Tuesday,4.263590029871862,CriminalBehaviour,Agression,3
309,309,2009,5,3-Tuesday,4.263590029871862,CriminalBehaviour,Break-in,4
310,310,2009,5,3-Tuesday,4.263590029871862,CriminalBehaviour,Environmental crime,1
311,311,2009,5,3-Tuesday,4.263590029871862,CriminalBehaviour,Fishing in Prohibited Places,1
312,312,2009,5,3-Tuesday,4.263590029871862,CriminalBehaviour,Illegal possession,1
313,313,2009,5,3-Tuesday,4.263590029871862,CriminalBehaviour,Illitcit Substance,16
314,314,2009,5,3-Tuesday,4.263590029871862,CriminalBehaviour,Kidnapping and imprisonment,1
315,315,2009,5,3-Tuesday,4.263590029871862,CriminalBehaviour,Misuse of transport card,1
